Product,Expected_Demand,Expected_Sold,Expected_Unmet,Legs,Tasks,Assigned_Fleets
P006393,5.25,5.25,0.0,AA0316TFBTGP -> AA0124GBJTFB,AA0316 -> AA0124,F16C0Y165 -> F16C0Y165
P006400,10.9,10.9,0.0,AA0316TFBTGP -> AA0124GBJTFB,AA0316 -> AA0124,F16C0Y165 -> F16C0Y165
P006401,0.8,0.8,0.0,AA0316TFBTGP -> AA0124GBJTFB,AA0316 -> AA0124,F16C0Y165 -> F16C0Y165
P006411,12.0,12.0,0.0,AA0126GBJTFB -> AA0312TFBTGP,AA0126 -> super_AA0312,F16C0Y165 -> F16C0Y165
P006414,18.3,12.0,6.3,BA2015TFBQEY -> AA0126GBJTFB -> BA2517QEYTGP,BA2015 -> AA0126 -> BA2517,F16C0Y165 -> F16C0Y165 -> F16C0Y165
P006425,18.65,0.85,17.8,AA0220TFBTGP -> AA0128GBJTFB,super_AA0220 -> AA0128,F16C0Y165 -> F16C0Y165
P006469,17.2,17.2,0.0,AA0062GBJTJU,,
P006470,5.45,5.45,0.0,AA0062GBJTJU,,
P006471,19.95,19.95,0.0,AA0062GBJTJU,,
P006474,1.05,1.05,0.0,AA0062GBJTJU,,
P006476,23.1,23.1,0.0,AA0062GBJTJU,,
P006477,12.05,12.05,0.0,AA0062GBJTJU,,
P006478,1.0,1.0,0.0,AA0062GBJTJU,,
P006481,5.95,5.95,0.0,AA0070BODTJU -> AA0190GBJBOD,AA0190,F16C0Y165
P006483,12.6,12.6,0.0,AA0070BODTJU -> AA0190GBJBOD,AA0190,F16C0Y165
P006494,12.9,12.9,0.0,BA2204TFBZWS -> AA0122GBJTFB,BA2204 -> AA0122,F16C0Y165 -> F16C0Y165
P006505,12.2,12.2,0.0,BA2314TFBZWS -> AA0124GBJTFB,BA2314 -> AA0124,F16C0Y165 -> F16C0Y165
P006516,12.6,12.6,0.0,BA2264TFBZWS -> AA0128GBJTFB,BA2264 -> AA0128,F16C0Y165 -> F16C0Y165
P006524,54.05,54.05,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006525,0.9,0.9,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006526,26.4,26.4,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006527,8.35,8.35,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006528,4.8,4.8,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006529,6.5,6.5,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006530,3.2,3.2,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006531,57.75,37.7,20.05,AA0243HEMMBY,AA0243,F16C0Y165
P006532,13.65,13.65,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006533,6.15,6.15,0.0,AA0243HEMMBY,AA0243,F16C0Y165
P006535,53.4,33.3,20.1,AA0249HEMMBY,AA0249,F16C0Y165
P006536,0.9,0.9,0.0,AA0249HEMMBY,AA0249,F16C0Y165
P006537,60.35,60.35,0.0,AA0249HEMMBY,AA0249,F16C0Y165
P006538,11.5,11.5,0.0,AA0249HEMMBY,AA0249,F16C0Y165
P006540,8.45,8.45,0.0,AA0249HEMMBY,AA0249,F16C0Y165
P006542,79.95,1.1,78.85,AA0249HEMMBY,AA0249,F16C0Y165
P006543,13.95,13.95,0.0,AA0249HEMMBY,AA0249,F16C0Y165
P006544,0.8,0.8,0.0,AA0249HEMMBY,AA0249,F16C0Y165
P006546,26.3,26.3,0.0,AA0227HEMTFB,,
P006547,6.1,6.1,0.0,AA0227HEMTFB,,
P006548,10.4,10.4,0.0,AA0227HEMTFB,,
P006549,2.25,2.25,0.0,AA0227HEMTFB,,
P006551,8.8,8.8,0.0,AA0227HEMTFB,,
P006553,31.35,31.35,0.0,AA0227HEMTFB,,
P006554,11.8,11.8,0.0,AA0227HEMTFB,,
P006559,20.25,0.95,19.3,AA0461MBYTFB -> AA0243HEMMBY,AA0461 -> AA0243,F16C0Y165 -> F16C0Y165
P006571,2.3,2.3,0.0,AA0467MBYTFB -> AA0243HEMMBY,AA0467 -> AA0243,F16C0Y165 -> F16C0Y165
P006573,1.4,0.05,1.35,AA0467MBYTFB -> AA0243HEMMBY,AA0467 -> AA0243,F16C0Y165 -> F16C0Y165
P006579,66.1,66.1,0.0,AA0227HEMTKD,super_AA0227,F16C0Y165
P006580,0.75,0.75,0.0,AA0227HEMTKD,super_AA0227,F16C0Y165
P006581,23.45,23.45,0.0,AA0227HEMTKD,super_AA0227,F16C0Y165
P006582,7.25,7.25,0.0,AA0227HEMTKD,super_AA0227,F16C0Y165
P006584,4.8,4.8,0.0,AA0227HEMTKD,super_AA0227,F16C0Y165
P006586,60.3,36.05,24.25,AA0227HEMTKD,super_AA0227,F16C0Y165
P006587,25.6,25.6,0.0,AA0227HEMTKD,super_AA0227,F16C0Y165
P006590,1.15,1.15,0.0,AA0249HEMMBY -> BA2078MBYTKD,AA0249 -> BA2078,F16C0Y165 -> F16C0Y165
P006592,19.65,19.65,0.0,AA0249HEMMBY -> BA2078MBYTKD,AA0249 -> BA2078,F16C0Y165 -> F16C0Y165
P006593,1.0,1.0,0.0,AA0249HEMMBY -> BA2078MBYTKD,AA0249 -> BA2078,F16C0Y165 -> F16C0Y165
P006597,1.0,1.0,0.0,AA0249HEMMBY -> BA2078MBYTKD,AA0249 -> BA2078,F16C0Y165 -> F16C0Y165
P006598,11.85,11.85,0.0,AA0249HEMMBY -> BA2078MBYTKD,AA0249 -> BA2078,F16C0Y165 -> F16C0Y165
P006609,11.25,5.3,5.95,AA0095TFBBOD -> AA0691HFHTFB,AA0095 -> AA0691,F16C0Y165 -> F16C0Y165
P006611,2.45,2.45,0.0,AA0101TFBBOD -> AA0691HFHTFB,AA0101 -> AA0691,F16C0Y165 -> F16C0Y165
P006624,5.5,5.5,0.0,AA0109TFBBOD -> AA0691HFHTFB,AA0109 -> AA0691,F16C0Y165 -> F16C0Y165
P006637,13.05,1.75,11.3,AA0119TFBBOD -> AA0691HFHTFB,AA0119 -> AA0691,F16C0Y165 -> F16C0Y165
P006644,4.2,3.7,0.5,AA0087TFBBOD -> AA0693HFHTFB,AA0087 -> AA0693,F16C0Y165 -> F16C0Y165
P006691,19.4,3.0,16.4,AA0520TFBCVS -> AA0691HFHTFB,AA0520 -> AA0691,F16C0Y165 -> F16C0Y165
P006697,11.15,11.15,0.0,AA0520TFBCVS -> AA0691HFHTFB,AA0520 -> AA0691,F16C0Y165 -> F16C0Y165
P006698,0.75,0.75,0.0,AA0520TFBCVS -> AA0691HFHTFB,AA0520 -> AA0691,F16C0Y165 -> F16C0Y165
P006703,0.2,0.2,0.0,AA0664TFBEGX -> AA0691HFHTFB,AA0664 -> AA0691,F16C0Y165 -> F16C0Y165
P006748,4.75,4.75,0.0,AA0851TFBIOM -> AA0693HFHTFB,AA0851 -> AA0693,F16C0Y165 -> F16C0Y165
P006773,22.8,22.8,0.0,AA0069TFBKOV -> AA0691HFHTFB,AA0691,F16C0Y165
P006781,5.0,5.0,0.0,AA0075TFBKOV -> AA0693HFHTFB,AA0075 -> AA0693,F16C0Y165 -> F16C0Y165
P006789,1.2,0.35,0.85,AA0693HFHTFB -> AA0843TFBLPB,AA0693 -> AA0843,F16C0Y165 -> F16C0Y165
P006797,5.6,5.6,0.0,AA0693HFHTFB -> AA0843TFBLPB,AA0693 -> AA0843,F16C0Y165 -> F16C0Y165
P006814,5.15,5.15,0.0,AA0606TFBMBT -> AA0693HFHTFB,AA0606 -> AA0693,F16C0Y165 -> F16C0Y165
P006841,5.55,5.55,0.0,AA0693HFHTFB -> AA0452TFBMBY,AA0693 -> AA0452,F16C0Y165 -> F16C0Y165
P006851,11.15,8.35,2.8,AA0693HFHTFB -> AA0460TFBMBY,AA0693 -> AA0460,F16C0Y165 -> F16C0Y165
P006861,23.65,21.9,1.75,AA3476TFBMHC -> AA0691HFHTFB,AA3476 -> AA0691,F16C0Y165 -> F16C0Y165
P006865,0.95,0.35,0.6,AA0758TFBNDJ -> AA0693HFHTFB,AA0758 -> AA0693,F16C0Y165 -> F16C0Y165
P006867,1.9,1.35,0.55,AA0758TFBNDJ -> AA0693HFHTFB,AA0758 -> AA0693,F16C0Y165 -> F16C0Y165
P006872,25.4,0.35,25.05,AA0758TFBNDJ -> AA0693HFHTFB,AA0758 -> AA0693,F16C0Y165 -> F16C0Y165
P006876,17.2,17.2,0.0,AA0693HFHTFB -> BA2011TFBNGS,AA0693 -> BA2011,F16C0Y165 -> F16C0Y165
P006877,5.65,5.65,0.0,AA0693HFHTFB -> BA2011TFBNGS,AA0693 -> BA2011,F16C0Y165 -> F16C0Y165
P006887,18.15,6.2,11.95,AA0346TFBPBL -> AA0691HFHTFB,AA0346 -> AA0691,F16C0Y165 -> F16C0Y165
P006907,5.8,5.8,0.0,AA0691HFHTFB -> AA0821TFBPHH,AA0691,F16C0Y165
P006961,11.45,11.45,0.0,AA0482TFBTBO -> AA0691HFHTFB,AA0482 -> AA0691,F16C0Y165 -> F16C0Y165
P006965,0.75,0.75,0.0,AA0693HFHTFB -> AA0472TFBTBO,AA0693 -> AA0472,F16C0Y165 -> F16C0Y165
P006966,18.35,1.15,17.2,AA0693HFHTFB -> AA0472TFBTBO,AA0693 -> AA0472,F16C0Y165 -> F16C0Y165
P006983,11.35,11.35,0.0,AA0693HFHTFB -> AA0488TFBTBO,AA0693 -> AA0488,F16C0Y165 -> F16C0Y165
P006986,17.15,17.15,0.0,AA0693HFHTFB -> AA3482TFBTCB,AA0693 -> AA3482,F16C0Y165 -> F16C0Y165
P006993,25.7,1.95,23.75,AA0693HFHTFB -> AA3482TFBTCB,AA0693 -> AA3482,F16C0Y165 -> F16C0Y165
P006996,5.75,5.75,0.0,AA0691HFHTFB,AA0691,F16C0Y165
P006998,5.9,5.9,0.0,AA0691HFHTFB,AA0691,F16C0Y165
P007001,9.55,9.55,0.0,AA0691HFHTFB,AA0691,F16C0Y165
P007002,9.75,9.75,0.0,AA0691HFHTFB,AA0691,F16C0Y165
P007003,1.65,1.65,0.0,AA0691HFHTFB,AA0691,F16C0Y165
P007006,4.7,4.7,0.0,AA0691HFHTFB,AA0691,F16C0Y165
P007007,13.8,13.8,0.0,AA0693HFHTFB,AA0693,F16C0Y165
P007012,10.05,10.05,0.0,AA0693HFHTFB,AA0693,F16C0Y165
P007013,12.8,9.05,3.75,AA0693HFHTFB,AA0693,F16C0Y165
P007014,1.05,1.05,0.0,AA0693HFHTFB,AA0693,F16C0Y165
P007017,5.15,5.15,0.0,AA0693HFHTFB,AA0693,F16C0Y165
P007019,2.3,0.1,2.2,AA0318TFBTGP -> AA0693HFHTFB,AA0318 -> AA0693,F16C0Y165 -> F16C0Y165
P007027,12.35,12.35,0.0,AA0318TFBTGP -> AA0693HFHTFB,AA0318 -> AA0693,F16C0Y165 -> F16C0Y165
P007028,1.0,1.0,0.0,AA0318TFBTGP -> AA0693HFHTFB,AA0318 -> AA0693,F16C0Y165 -> F16C0Y165
P007038,11.75,11.75,0.0,AA0328TFBTKD -> AA0691HFHTFB,AA0328 -> AA0691,F16C0Y165 -> F16C0Y165
P007042,1.0,1.0,0.0,AA0821TFBTNG -> AA0691HFHTFB,super_AA0821 -> AA0691,F16C0Y165 -> F16C0Y165
P007049,10.6,10.6,0.0,AA0821TFBTNG -> AA0691HFHTFB,super_AA0821 -> AA0691,F16C0Y165 -> F16C0Y165
P007050,6.1,6.1,0.0,AA0821TFBTNG -> AA0691HFHTFB,super_AA0821 -> AA0691,F16C0Y165 -> F16C0Y165
P007077,12.95,12.95,0.0,AA0061KOVBOD,,
P007078,0.95,0.95,0.0,AA0061KOVBOD,,
P007081,24.05,24.05,0.0,AA0061KOVBOD,,
P007082,11.25,11.25,0.0,AA0061KOVBOD,,
P007086,9.85,9.85,0.0,AA0065KOVBOD,super_AA0065,F0C0Y76
P007088,10.5,10.5,0.0,AA0065KOVBOD,super_AA0065,F0C0Y76
P007089,5.6,5.6,0.0,AA0065KOVBOD,super_AA0065,F0C0Y76
P007092,7.1,2.4,4.7,AA0065KOVBOD,super_AA0065,F0C0Y76
P007093,21.35,18.85,2.5,AA0065KOVBOD,super_AA0065,F0C0Y76
P007094,8.6,8.6,0.0,AA0065KOVBOD,super_AA0065,F0C0Y76
P007097,11.7,11.7,0.0,AA0067KOVBOD,super_AA0067,F16C0Y165
P007098,20.3,17.45,2.85,AA0067KOVBOD,super_AA0067,F16C0Y165
P007099,8.25,8.25,0.0,AA0067KOVBOD,super_AA0067,F16C0Y165
P007100,5.55,5.55,0.0,AA0067KOVBOD,super_AA0067,F16C0Y165
P007103,24.4,4.7,19.7,AA0067KOVBOD,super_AA0067,F16C0Y165
P007104,22.1,22.1,0.0,AA0067KOVBOD,super_AA0067,F16C0Y165
P007105,11.3,11.3,0.0,AA0067KOVBOD,super_AA0067,F16C0Y165
P007106,4.2,4.2,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007108,11.45,11.45,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007109,21.65,21.65,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007110,11.8,11.8,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007111,8.1,8.1,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007112,0.9,0.85,0.05,AA0073KOVBOD,super_AA0073,F16C0Y165
P007114,22.55,22.45,0.1,AA0073KOVBOD,super_AA0073,F16C0Y165
P007115,16.2,16.2,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007116,9.0,9.0,0.0,AA0073KOVBOD,super_AA0073,F16C0Y165
P007123,8.25,8.25,0.0,AA0061KOVDEW,,
P007127,1.0,1.0,0.0,AA0061KOVDEW,,
P007129,15.1,15.1,0.0,AA0002TFBEDB -> AA0060KOVTFB,AA0002,F16C0Y165
P007130,5.45,5.45,0.0,AA0002TFBEDB -> AA0060KOVTFB,AA0002,F16C0Y165
P007131,19.65,19.65,0.0,AA0002TFBEDB -> AA0060KOVTFB,AA0002,F16C0Y165
P007132,13.0,13.0,0.0,AA0002TFBEDB -> AA0060KOVTFB,AA0002,F16C0Y165
P007136,25.2,25.2,0.0,AA0002TFBEDB -> AA0060KOVTFB,AA0002,F16C0Y165
P007139,4.85,4.85,0.0,AA0002TFBEDB -> AA0072KOVTFB,AA0002 -> AA0072,F16C0Y165 -> F16C0Y165
P007141,6.55,0.15,6.4,AA0002TFBEDB -> AA0072KOVTFB,AA0002 -> AA0072,F16C0Y165 -> F16C0Y165
P007149,5.2,3.05,2.15,AA0002TFBEDB -> AA0072KOVTFB,AA0002 -> AA0072,F16C0Y165 -> F16C0Y165
P007156,8.55,8.55,0.0,AA0672TFBEFO -> AA0060KOVTFB,AA0672,F16C0Y165
P007170,12.9,12.9,0.0,AA0672TFBEFO -> AA0072KOVTFB,AA0672 -> AA0072,F16C0Y165 -> F16C0Y165
P007181,11.45,11.45,0.0,AA0678TFBEFO -> AA0076KOVTFB,AA0678 -> AA0076,F16C0Y165 -> F16C0Y165
P007187,10.7,0.15,10.55,AA0051BODGBJ -> AA0065KOVBOD,super_AA0051 -> super_AA0065,F0C0Y76 -> F0C0Y76
P007196,5.85,5.85,0.0,AA0189BODGBJ -> AA0065KOVBOD,AA0189 -> super_AA0065,F16C0Y165 -> F0C0Y76
P007198,3.2,3.15,0.05,AA0189BODGBJ -> AA0065KOVBOD,AA0189 -> super_AA0065,F16C0Y165 -> F0C0Y76
P007199,0.7,0.7,0.0,AA0189BODGBJ -> AA0065KOVBOD,AA0189 -> super_AA0065,F16C0Y165 -> F0C0Y76
P007200,8.95,6.9,2.05,AA0189BODGBJ -> AA0065KOVBOD,AA0189 -> super_AA0065,F16C0Y165 -> F0C0Y76
P007204,0.9,0.9,0.0,AA0189BODGBJ -> AA0065KOVBOD,AA0189 -> super_AA0065,F16C0Y165 -> F0C0Y76
P007207,6.05,6.05,0.0,AA0195BODGBJ -> AA0067KOVBOD,AA0195 -> super_AA0067,F0C0Y76 -> F16C0Y165
P007209,13.3,13.3,0.0,AA0195BODGBJ -> AA0067KOVBOD,AA0195 -> super_AA0067,F0C0Y76 -> F16C0Y165
P007211,8.05,8.05,0.0,AA0195BODGBJ -> AA0067KOVBOD,AA0195 -> super_AA0067,F0C0Y76 -> F16C0Y165
P007218,5.15,5.15,0.0,AA0183BODGBJ -> AA0073KOVBOD,AA0183 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007220,12.95,12.95,0.0,AA0183BODGBJ -> AA0073KOVBOD,AA0183 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007221,1.7,1.7,0.0,AA0183BODGBJ -> AA0073KOVBOD,AA0183 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007222,8.65,8.65,0.0,AA0183BODGBJ -> AA0073KOVBOD,AA0183 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007226,1.15,1.15,0.0,AA0183BODGBJ -> AA0073KOVBOD,AA0183 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007231,11.95,11.95,0.0,BA2444TFBHFH -> AA0060KOVTFB,BA2444,F16C0Y165
P007242,12.45,12.45,0.0,BA2192TFBHFH -> AA0062KOVTFB,BA2192,F16C0Y165
P007253,12.4,12.4,0.0,BA2248TFBHFH -> AA0062KOVTFB,BA2248,F16C0Y165
P007262,5.45,5.45,0.0,AA0690TFBHFH -> AA0072KOVTFB,AA0690 -> AA0072,F16C0Y165 -> F16C0Y165
P007264,12.95,12.95,0.0,AA0690TFBHFH -> AA0072KOVTFB,AA0690 -> AA0072,F16C0Y165 -> F16C0Y165
P007275,11.9,11.9,0.0,BA2444TFBHFH -> AA0072KOVTFB,BA2444 -> AA0072,F16C0Y165 -> F16C0Y165
P007282,1.0,1.0,0.0,BA2594TFBHFH -> AA0076KOVTFB,BA2594 -> AA0076,F16C0Y165 -> F16C0Y165
P007288,8.4,8.4,0.0,BA2594TFBHFH -> AA0076KOVTFB,BA2594 -> AA0076,F16C0Y165 -> F16C0Y165
P007295,7.45,7.45,0.0,AA0060KOVLUO,super_AA0060,F16C0Y165
P007296,18.4,18.4,0.0,AA0060KOVLUO,super_AA0060,F16C0Y165
P007297,6.75,6.75,0.0,AA0060KOVLUO,super_AA0060,F16C0Y165
P007298,4.85,4.85,0.0,AA0060KOVLUO,super_AA0060,F16C0Y165
P007299,10.15,10.15,0.0,AA0060KOVLUO,super_AA0060,F16C0Y165
P007303,24.5,24.5,0.0,AA0060KOVLUO,super_AA0060,F16C0Y165
P007306,8.1,8.1,0.0,AA0062KOVLUO,,
P007307,19.95,19.95,0.0,AA0062KOVLUO,,
P007308,22.55,22.55,0.0,AA0062KOVLUO,,
P007309,1.7,1.7,0.0,AA0062KOVLUO,,
P007310,7.85,7.85,0.0,AA0062KOVLUO,,
P007314,5.85,5.85,0.0,AA0062KOVLUO,,
P007317,5.8,5.8,0.0,AA0064KOVLUO,,
P007319,14.8,14.8,0.0,AA0064KOVLUO,,
P007325,3.85,3.85,0.0,AA0064KOVLUO,,
P007330,1.05,1.05,0.0,AA0610TFBMBT -> AA0060KOVTFB,AA0610,F16C0Y165
P007337,0.75,0.75,0.0,AA0610TFBMBT -> AA0072KOVTFB,AA0610 -> AA0072,F16C0Y165 -> F16C0Y165
P007339,7.2,7.2,0.0,AA0610TFBMBT -> AA0072KOVTFB,AA0610 -> AA0072,F16C0Y165 -> F16C0Y165
P007352,12.6,0.2,12.4,AA0612TFBMBT -> AA0072KOVTFB,AA0612 -> AA0072,F16C0Y165 -> F16C0Y165
P007369,0.85,0.85,0.0,AA0153BODPNF -> AA0065KOVBOD,super_AA0065,F0C0Y76
P007372,5.5,5.5,0.0,AA0152BODPNF -> AA0073KOVBOD,super_AA0152 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007376,8.35,8.35,0.0,AA0152BODPNF -> AA0073KOVBOD,super_AA0152 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007380,1.0,1.0,0.0,AA0152BODPNF -> AA0073KOVBOD,super_AA0152 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007387,8.5,8.5,0.0,AA0022TFBPSE -> AA0060KOVTFB,AA0022,F16C0Y165
P007390,11.15,11.15,0.0,AA0022TFBPSE -> AA0060KOVTFB,AA0022,F16C0Y165
P007393,17.4,16.5,0.9,AA0138BODPSE -> AA0067KOVBOD,AA0138 -> super_AA0067,F16C0Y165 -> F16C0Y165
P007398,8.2,5.6,2.6,AA0138BODPSE -> AA0067KOVBOD,AA0138 -> super_AA0067,F16C0Y165 -> F16C0Y165
P007400,23.15,3.9,19.25,AA0138BODPSE -> AA0067KOVBOD,AA0138 -> super_AA0067,F16C0Y165 -> F16C0Y165
P007401,11.85,11.85,0.0,AA0138BODPSE -> AA0067KOVBOD,AA0138 -> super_AA0067,F16C0Y165 -> F16C0Y165
P007418,12.75,12.75,0.0,BA2627TFBQEY -> AA0056KOVTFB,BA2627 -> AA0056,F16C0Y165 -> F16C0Y165
P007428,19.4,19.4,0.0,BA2043TFBQEY -> AA0060KOVTFB,BA2043,F16C0Y165
P007429,13.1,13.1,0.0,BA2043TFBQEY -> AA0060KOVTFB,BA2043,F16C0Y165
P007450,0.05,0.05,0.0,BA2573TFBQEY -> AA0062KOVTFB,BA2573,F16C0Y165
P007460,6.0,6.0,0.0,BA2015TFBQEY -> AA0072KOVTFB,BA2015 -> AA0072,F16C0Y165 -> F16C0Y165
P007462,13.65,8.45,5.2,BA2015TFBQEY -> AA0072KOVTFB,BA2015 -> AA0072,F16C0Y165 -> F16C0Y165
P007468,1.0,1.0,0.0,BA2015TFBQEY -> AA0072KOVTFB,BA2015 -> AA0072,F16C0Y165 -> F16C0Y165
P007471,6.05,6.05,0.0,BA2573TFBQEY -> AA0076KOVTFB,BA2573 -> AA0076,F16C0Y165 -> F16C0Y165
P007473,12.35,11.95,0.4,BA2573TFBQEY -> AA0076KOVTFB,BA2573 -> AA0076,F16C0Y165 -> F16C0Y165
P007479,0.9,0.9,0.0,BA2573TFBQEY -> AA0076KOVTFB,BA2573 -> AA0076,F16C0Y165 -> F16C0Y165
P007484,11.75,11.75,0.0,AA0636TFBQIY -> AA0072KOVTFB,AA0636 -> AA0072,F16C0Y165 -> F16C0Y165
P007490,2.05,2.05,0.0,AA0636TFBQIY -> AA0072KOVTFB,AA0636 -> AA0072,F16C0Y165 -> F16C0Y165
P007495,12.4,10.05,2.35,AA0638TFBQIY -> AA0072KOVTFB,AA0638 -> AA0072,F16C0Y165 -> F16C0Y165
P007504,1.15,1.15,0.0,AA0060KOVLUO -> AA0065LUOQTH,super_AA0060,F16C0Y165
P007508,0.9,0.9,0.0,AA0060KOVLUO -> AA0065LUOQTH,super_AA0060,F16C0Y165
P007512,0.9,0.9,0.0,AA0060KOVLUO -> AA0065LUOQTH,super_AA0060,F16C0Y165
P007514,18.4,18.4,0.0,AA0064KOVQTH,super_AA0064,F16C0Y165
P007515,1.9,1.9,0.0,AA0064KOVQTH,super_AA0064,F16C0Y165
P007517,12.9,12.9,0.0,AA0064KOVQTH,super_AA0064,F16C0Y165
P007519,3.8,3.8,0.0,AA0064KOVQTH,super_AA0064,F16C0Y165
P007522,14.3,14.3,0.0,AA0064KOVQTH,super_AA0064,F16C0Y165
P007523,6.3,6.3,0.0,AA0064KOVQTH,super_AA0064,F16C0Y165
P007524,1.0,1.0,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007527,19.1,19.1,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007528,3.0,3.0,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007530,11.5,11.5,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007531,1.0,1.0,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007533,9.45,9.45,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007534,2.95,2.95,0.0,AA0056KOVTFB,AA0056,F16C0Y165
P007536,0.8,0.8,0.0,AA0060KOVTFB,,
P007537,5.7,5.7,0.0,AA0060KOVTFB,,
P007538,2.25,2.25,0.0,AA0060KOVTFB,,
P007539,2.7,2.7,0.0,AA0060KOVTFB,,
P007540,1.75,1.75,0.0,AA0060KOVTFB,,
P007541,10.05,10.05,0.0,AA0060KOVTFB,,
P007543,1.9,1.9,0.0,AA0060KOVTFB,,
P007544,2.8,2.8,0.0,AA0060KOVTFB,,
P007545,4.7,4.7,0.0,AA0060KOVTFB,,
P007552,8.25,8.25,0.0,AA0062KOVTFB,,
P007553,0.9,0.9,0.0,AA0062KOVTFB,,
P007559,5.45,5.45,0.0,AA0064KOVTFB,,
P007580,1.35,0.05,1.3,AA0066KOVTFB,super_AA0066,F0C0Y76
P007581,5.95,5.95,0.0,AA0066KOVTFB,super_AA0066,F0C0Y76
P007582,18.85,4.1,14.75,AA0066KOVTFB,super_AA0066,F0C0Y76
P007583,13.25,12.65,0.6,AA0066KOVTFB,super_AA0066,F0C0Y76
P007584,6.15,6.15,0.0,AA0066KOVTFB,super_AA0066,F0C0Y76
P007585,10.2,10.2,0.0,AA0066KOVTFB,super_AA0066,F0C0Y76
P007586,1.0,1.0,0.0,AA0066KOVTFB,super_AA0066,F0C0Y76
P007587,2.3,0.05,2.25,AA0066KOVTFB,super_AA0066,F0C0Y76
P007588,2.7,2.7,0.0,AA0066KOVTFB,super_AA0066,F0C0Y76
P007589,3.45,3.45,0.0,AA0066KOVTFB,super_AA0066,F0C0Y76
P007590,1.6,1.6,0.0,AA0072KOVTFB,AA0072,F16C0Y165
P007592,1.6,1.6,0.0,AA0072KOVTFB,AA0072,F16C0Y165
P007595,6.6,6.6,0.0,AA0072KOVTFB,AA0072,F16C0Y165
P007596,19.25,19.25,0.0,AA0072KOVTFB,AA0072,F16C0Y165
P007600,9.2,9.2,0.0,AA0072KOVTFB,AA0072,F16C0Y165
P007611,0.05,0.05,0.0,AA0080BODTFB -> AA0073KOVBOD,AA0080 -> super_AA0073,F16C0Y165 -> F16C0Y165
P007613,17.85,1.1,16.75,AA0076KOVTFB,AA0076,F16C0Y165
P007614,2.7,2.7,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007615,18.8,9.5,9.3,AA0076KOVTFB,AA0076,F16C0Y165
P007616,15.55,15.55,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007617,4.1,4.1,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007618,18.9,18.9,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007619,1.4,1.4,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007621,7.0,7.0,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007622,7.3,7.3,0.0,AA0076KOVTFB,AA0076,F16C0Y165
P007624,17.35,17.35,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007625,3.9,3.9,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007627,12.75,12.75,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007628,5.3,5.3,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007629,7.95,7.95,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007631,21.1,21.1,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007632,12.7,12.7,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007633,14.1,14.1,0.0,AA0062KOVTJU,super_AA0062,F16C0Y165
P007636,1.6,1.6,0.0,AA0070KOVTJU,super_AA0070,F16C0Y165
P007638,12.7,12.7,0.0,AA0070KOVTJU,super_AA0070,F16C0Y165
P007640,8.9,8.9,0.0,AA0070KOVTJU,super_AA0070,F16C0Y165
P007643,12.65,12.65,0.0,AA0070KOVTJU,super_AA0070,F16C0Y165
P007644,5.05,5.05,0.0,AA0070KOVTJU,super_AA0070,F16C0Y165
